LANG,TEXT
Achuar,"Tura nu nungkanam wekaa wekaaka, Cristonu ainaun: Cristo miatrusrumek umirkataram tusa, nunia ukuki, Grecia nungkanam wemiayi.
"
Achuar,"Tura timiá najaiminau asar, tura kuchaprukar wait wajainau asar, Yus nayaimpinam puja nuna pachisar pasé chicharinaun antukmajai. Tura ni tunau turamurincha pengké inaisacharun wainkamjai.
"
Achuar,"Nunia ataksha Jerusalénnum wearmiayi. Tura nuni jear, Jesús Yus seatai juun jeanam wayaamtai, sacerdote juuntri ainausha tura Moisésa chichame nuikiartin ainausha, tura judío juuntri ainausha Jesúsan tariarmiayi.
"
Achuar,"tura Simón yaanchuik mesetan najanin amia nu, tura Judas Iscariote, Jesúsan ukunam anangka surukmia nuwaitai. Ainchik: Wi akupkatnuitjarme tusa Jesús inaitamkamiaji.
"
Achuar,"Tamati Ananías we, Saulo pujamunam jea, nuni waya ni uwejejai muuken achik chicharak: —Yatsuru Sauloa, ame jinta winamin Apu Jesús wantinturmak amijai chichasma nuka amincha wainmamtikiat tusa, tura Yuse Wakani ami nintimin piatramkat tusa wina akuptuki, —timiayi.
"
Achuar,"Wi Damasco yaktanam jeamtai, juun apu Aretas chikich apun: Nu yakta apuri ata tusa inaikiamu asa, ni suntari ainaun wína pachitsar: Nu aints achiktaram tama, yakta waitirin mash epeniar winaka nakarkarmiayi.
"
Achuar,"Yatsur ainautiram umaarutirmesha, atumka miatrusrumek Cristo umirkau asaram, tura miatrusrumek aneeniau asakrumin, tuke atum pachisar nekasar Yuska maaketai timinuitji.
"
Achuar,"Tura Moisés niin pachis aarmia nuna nangkamsang, tura Yuse chichamen etserin aararmia nusha taku tiarmiayi tusa, Jesús Yuse chichamen niin pachisar aararmia nunaka mash nekamtikiamiayi.
"
Achuar,"Iikia Yus Moisésan akupkamuka nekaji. ¿Antsu nu aintska tuniantskai? —tiarmiayi.
"
Achuar,"Tura kashin tsawaar ataksha Yus seatai juun jeanam jeamtai, aints ainau untsuri niin kautkarmiayi. Tura kautkaram, Jesús keemas nu aints ainaun nuiniarmiayi.
"
Afrikaans,"Verder het die HERE met Aäron gespreek: Ek self het jou die diens van my offergawes gegee; wat betref al die heilige gawes van die kinders van Israel, aan jou gee Ek dit as aandeel en aan jou seuns as ewige insetting.
"
Afrikaans,"wat ons gesien en gehoor het, verkondig ons aan julle, sodat julle ook gemeenskap met ons kan hê; en ons gemeenskap is met die Vader en met sy Seun, Jesus Christus.
"
Afrikaans,"En die een het hy in Bet-el opgerig en die ander in Dan opgestel.
"
Afrikaans,"Toe Moses kom en aan die volk al die woorde van die HERE en al die verordeninge vertel, antwoord die hele volk met een stem en sê: Al die woorde wat die HERE gespreek het, sal ons doen.
"
Afrikaans,"En Samuel sê aan die hele volk: Sien julle hom wat die HERE uitgekies het? Want daar is nie een onder die hele volk soos hy nie. Toe juig die hele volk en sê: Mag die koning lewe!
"
Afrikaans,"En omtrent hierdie tyd het daar geen klein opskudding met betrekking tot die Weg ontstaan nie.
"
Afrikaans,"Mag die dagvervloekers hom verwens, hulle wat die kuns verstaan om die Leviátan op te hits.
"
Afrikaans,"En as daar tien man in een huis oorgebly het, sal hulle sterwe.
"
Afrikaans,"Luister na raad en neem tug aan, sodat jy in die vervolg wys kan wees.
"
Afrikaans,"Wees dan nou nie bevrees nie: ék sal julle en julle kinders onderhou. So het hy hulle dan getroos en na hulle hart gespreek.
"
Aguaruna,"Junak wika, chicham pegkeja imanun ujapainak tsanugmag, anentaimin yapagtugmawainum tusan tajime.
"
Aguaruna,"Aents anentaimtaji pegkeg aina duka, ashí ni takaamujishkam pegkejak ainawai. Untsu aents pegkegchau Apajuiyaish kajinas anentaimchau aina duka, pegkeg anentaimtak atsujuinawai. Nunin asag anentaimtajinish pegkegchauk ainawai.
"
Aguaruna,"Apajuí Kristunak: “Ame ashí inamjata”, tusa idaitusui. Juna tiuwa nunak Apajuinash nigki Kristuk inawai tusag tatsui, wagki Apajuí ashí wajinak Kristun idaitusui.
"
Aguaruna,"Witjai yutaiya numamtin pujut tuke atinun sukagtin nayaimpinmaya akaikiunuk. Jujú pagka juna yuwauk tuke pujutnui. Wi yutai sukagtittag duka mina iyashjuke. Nunak ashí aents juwiya aidaush pujut tuke atina nuna jukitnume tau asan dutikattajai.”
"
Aguaruna,"“Aents wi takaag nujai shiig aneas juwainachuk mina shiwagmatuinawai, nunisag aents Apajuí chichamen etsegbaunash yainchagtaik kuashat aents uweemainun megkagainawai.
"
Aguaruna,"Makichkish tsanuamak aigpajum, Kristuk eke taatsui. Kristu taattak wajataik, kuashat aents Apajuin nemagtanak idaisagtinai, nuninai makichik aents dekas pegkegchau wantinkatnai. Nu aentsuk jii ajumaish kajinchaunum pujus waittsatna nunú atinai.
"
Aguaruna,"Dutikam machik tsawan apajijai pujus, uchi ekeuk ashí ni wajiijinak ijumag juki, apajinak ukuak tikich nugkanum atushat weuwai. Nunik nui pujus wainak pujut pegkegchaunum wekagak, kuichkijinak wajiijijaí ashimkauwai.
"
Aguaruna,"Tiagtai Jisuschakam: —Wamkesjum wetajum, —tima wakan pegkegchau aidau aentsnak ukuinak, dos mil kuchi tumain ijununum utsanawajui. Dutikawajam kuchishkam pisajag betsag tajagak kuchanum najataunum utsanawag jinawajui.
"
Aguaruna,"Tutai Jisus ayaak: —Ashí aents Apajuinun takainak yujainak jeen, nuwen, yachin, uchijin, apajin dukujijai ukukiag yujaidauk,
"
