LANG,TEXT
Achuar,"Ii Apaachiri Yus mash nungkanmaya ainautin uwemtikramratas ni Uchirin akupturmaku asamtai, iikia nu nekau asar, nu chichamsha aints ainau ujaaji.
"
Achuar,"Nunia Jesús ataksha chicharak: “Amikur ainautirmin atumin tajarme: Aints atumin mantamawartas wakerutminamtaisha shamkairap. Atumin mantaminayat, atumi wakaninka maachartinuitai.
"
Achuar,"Iikia Yus Moisésan akupkamuka nekaji. ¿Antsu nu aintska tuniantskai? —tiarmiayi.
"
Achuar,"Tura Jesús romano apurin suruktai tu nintiminak, chichaman najatawar, Jesús tsanurtai tusar, aints ainaun eakar: Nuka iikia pengke aintsuitji tinayat, Jesús iniam, niisha warintintak tusar, ni chichamen anturkar, nuna jukiarat tusar akupkarmiayi.
"
Achuar,"Tura timiá najaiminau asar, tura kuchaprukar wait wajainau asar, Yus nayaimpinam puja nuna pachisar pasé chicharinaun antukmajai. Tura ni tunau turamurincha pengké inaisacharun wainkamjai.
"
Achuar,"Antsu atumka Cristo chichame paan antuku asaram, tu pujusmintrum tusarkia nuiniarchamuitrume.
"
Achuar,"Wiitjai Cristonu ainau juuntrinjai. Ju papinasha Yuse uchiri iruntrar pujuinamunam akupajai. Cristo atumin eatmaku asamtai, wisha nekasan atumin aneajrume. Antsu wikikia aneatsjarme. Antsu chikich ainausha nekas chicham aa nuna nekainauka atumniasha anenminawai.
"
Achuar,"Nunia aints ainau uchi irunun itariar, Jesúsan seainak: —Ame uchi muuken achikiam Yus seatrita, —tusar itariarmiayi. Tinamtai ni nuiniatiri ainauti chicharkur: —¿Waruka apusha waitkarme? —timiaji.
"
Achuar,"Yaanchuikia aints wainmichu akiinaun tsuwaruka kichkisha nekachuyaji.
"
Achuar,"Jesús ataksha chicharak: “¿Ju nuikiartutai chichamka wi taja juka warinkung taj tusaram nekatsrumek? Ju nekachkurmeka ¿itiur chikich nuikiartutai chichamsha mashcha nekaatrumek?
"
Achuar,"Nu chichamka etserin ata tusa Yus winaka inaitukmiayi. Tura judíochu ainamunam wína chichamur nuiniarta tusa akuptukmiayi.
"
Achuar,"Tamaitiat ni Jesúsnumia jiinki ni turunamurin pachitsuk aints ainaun mash ujakmiayi. Tura nuna mash antukaru asaramtai, Jesús kichik yaktanmasha paan wainkaram wayaatatkama tujinkamiayi. Antsu yakta aarin aints atsamunam pujumiayi. Turamtai mash yaktanmaya aints ainau jiinkiar Jesúsnum taarmiayi.
"
Achuar,"Tu aiminamtai, apu Herodes nekataj tusa, nekau ainaun tsaa taakmanumanini winiarmia nunaka akanak juki: —¿Angkuajisha nekasrumsha warutia wainkamarume? —tu iniasmiayi.
"
Achuar,"Tura Cristo nantakchawaitmatikia, atumsha Cristo nekasampi Yuse Uchirinta nangkamrum tiintrume. Tura atumi tunaari sakarchau asamtai, atumka tuke tunaarintin aintrume.
"
Achuar,"Tura aints ainaun chicharak: —Yus aints ainaun nayaimpinmaya inartin kinta jeau asamtai, atumi tunaari inaisaram tuke Yus nemarkataram, —timiayi.
"
Achuar,"Wína aintsur ainaun uwijaya nunisnak untsuam, anturtukar nemartinawai. Tura winar asaramtai, nuwaapita tusan nekajai.
"
Achuar,"Yamaikia Adán nintimrarmi. Adán nuwá eemak tunau wajasu asa jatan jurumakmiayi. Tura kichik aints tunau wajasu asamtai, mash nungkanmaya ainau tunau wajasarmiayi. Tura tunau wajasaru asar, mash jatan jurumakiarmiayi.
"
Achuar,"“Turamtai aints atumin chichartaminak: ‘Jiista, juwaitai Mesías,’ turaminamtaikia tura: ‘Ani Mesías pujawai,’ turaminamtaisha anturkairap.
"
Achuar,"Atumi juuntri yaanchuik pujú ainaun: Wijai wekaasataram tusan, Egipto nungkanmaya jiikiaran, wína chichamrun umirtukarti tusan, chichaman najanamiaja nunisnaka ataksha nu chichamnaka najanashtinuitjai. Wikia Moisésan chicharkun: Wína chichamrun aints ainau umirtukarti tusan timiaja nunaka tuke umikchau asaramtai, wikia ni juuntri ainaunka pachischamiajai,” Yus tawai.
"
Achuar,"Tura Pedro Jerusalénnum jeamtai, judío ainau niin chicharinak: —¿Waruka judíotiatmesha judíochu ainamunmasha irastasmesha wemame? ¿Tura waruka nijaisha tsaniasmesha yuwamame? —tiarmiayi.
"
Achuar,"Nunia ni nuiniatiri ainaujai kanunam engkemrar, Dalmanuta nungkanam wearmiayi.
"
Achuar,"Tamati Pedro ataksha iniak: —Apuru ¿waruka yamaikikia winichminuitme turutme? Wisha amin ayamruktasan jatan wakerajai, —timiayi.
"
Achuar,"Tura asaram chikitirmesha tunau wajasai tusaram, tura Yus kajertukai tusaram, yamaisha Yus atumi tunaarin tsangkutramratin asamtai, tuke kintajai metek pengker nintimtunisrum pujustaram.
"
Achuar,"Tura asamtai Yuse chichame tu aarmawaitai: “Aints ii Apurin seak: Uwemtikrurta tamaka uwemtikratnuitai.”
"
Achuar,"Antsu aints wína pachitas chikich aints antinamunam: Wikia Jesúsnauchuitjai taunka wisha nunisnak Yuse awemamuri antinamunam: Nuka wína aintsruchuitai titinuitjai.
"
Achuar,"Abraham nekas ni nuwapchiri charutkamu ainau aparintai. Tura Abraham ni nuwapchirin charutsuk, Yusen nekasampita tinu asamtai, chikich aints ainau Abrahama nunisarang Yusen nekasampita tinauka Abraham yajutmarmawa nunisarang ainawai.
"
Achuar,"Tura asan yamaikia ami uchiram wajatnaka natsaamajai. Antsu ami inatiram takakmina nunisnak wisha takakmastajai titatjai, tu nintimramiayi.
"
Achuar,"“Chikich chichamsha antuktaram: Wejmak arut jaankamtai, ju nungkanam aints kichkisha tarachin yamarman nujtuk aparchamnawaitai. Nu turamka nunia nijaram, yamaram tarach setur tuupich wajayi. Tura asa arutri chingkiana, nuna nangkamasang nukap jaankatnuitai.
"
Achuar,"Aints nangkami nintimias: Mash aa nunaka nekajai tayat, Yus niin nekamtikiatas wakera nunaka mashkia nekatsui.
"
Achuar,"“Tura asar Yuse keemtairin tentakar nakasar pujuinawai. Tura tsawaisha, tura kashisha Yus seatai juun jean waininak Yusen maaketai tinawai. Tura asaramtai Yus ni keemtairin keta nuka tuke niin wainui.
"
Achuar,"Turam nu natsa aparin chicharak: ‘Apaachi, wikia Yusjai tura amijaisha tunau wajasjai. Tura asan yamaikia ami uchiram wajatnaka natsaamajai,’ timiayi.
"
Achuar,"Nintimrataram. Aints yamai nuwan nuwatmatai, ni amikrisha taa, nu mai tsaniasar wajainaun wainak, tura ni amikri etsermaun antuk nukap waraawai. Atumsha Jesús pachisrum etseru wearme nuna antukan, wisha nunisnak nekasan nukap waraajai.
"
Achuar,"Tura wainiat ii Apuri Cristo wína yainkamiayi. Tura asa ni kakarmarin nintirun engketruamiayi. Tura asamtai judíochu ainausha mash Cristonam uwemratin chichaman antukarti tusan ujakarmiajai. Nunia Yuska juun apu winaka juun yawaanum akupkashti tusa surimrukmiayi.
"
Achuar,"Antsu wikia nekas chichaman etserai waitiatrum, winaka nekasainme turutsurme.
"
Achuar,"Tura Yuse paaniuri jiirun kusumtikruru asamtai, wikia nantakin wainmaktatkaman tujinkamiajai. Tura wainmachu asamtai, wijai wekajinau uwejrun tap achirkar Damasconam umatiarmiayi.
"
Achuar,"Tura jumchik kinta nangkamaramtai, nu natsaka ninu aa nuna mash suruk, kuikiarin chumpia chikich nungkanam yajá wemiayi. Tura chikich nungkanam we nuni jea, nangkami pujus ni wakeramurijai kuikiarin mash amukmiayi.
"
Achuar,"Tinamaitiat Jesús mash aints ainau nintimaurin nekau asa, wína miatrusarka nintimturinatsui tusa nekaamiayi.
"
Achuar,"Aints ainau wainminamunam wainchati takatan wi chikich aints ainau tujintinaun wainiatun untsuri turinuyajai. Nuna turachmataikia, niin wiasmamtikiashtinuitjai. Antsu wi wainchati takatan turamun wainkariat wína nakitrin asar, wína Apaachirnasha nunisarang nakitin ainawai.
"
Achuar,"Nunia Jesús ataksha nuiniak: “Yaanchuik juun ainau chichaman etserinak: ‘Nuwa aishrinujai tsanirmawairap,’ tinamuka antukmiarume.
"
Achuar,"Tura asakrin Jesús pajas jiimias: —¿Atumsha yaachia earme? —turammiaji. Turammatai iisha: —Nuikiartinu ¿tunia pujame? —tu iniasmiaji.
"
Achuar,"atumin pachisan Yusen seatkun tuke maaketai tajai.
"
Achuar,"Tura entsatir atsamtaisha atumka surusmiarume. Wi jaakun tepamtaisha, wína jiirsatasrum winitrimiarume. Tura wína achirkar kársernum engketawaramtaisha, atumka winiram jiirsamiarume,’ titinuitjai.
"
Achuar,"Tura jeanam wayaarume nuning kanurtaram. Antsu chikich chikich jeanmaka kanukni wajairap. Tura takakminauka tuke akiktin asaramtai, atumin yutancha suramina nuke yuwataram. Tura amutincha suramina nuke amurtaram.
"
Achuar,"Aints ainau nekapnainak ampuinauka nekarme. ¿Yáachia eemak jeati? tusar ampukiar weenak, kichik aintsuk tsengkrutin jukitnun waininayat mash ampuinawai. Atumsha tsengkrutin jukiartas ampuina nunisrumek Cristo pengker umirkataram.
"
Achuar,"Aneartaram. Aints atumin pasé awajtaminamtaisha, kichkisha kajertsuk asataram. Antsu: Wisha pengker awajsatjai, tu nintimsaram pujustaram. Tura Cristonu ainaun tura Cristo umirchau ainauncha mash pachitsuk pengker awajsatjai, tu nintimsaram pujustaram.
"
Achuar,"Tura Estebankan Yuse Wakani piatkamu asa, Yus ni nekamtairi susamu asamtai, nunia aints ainau ni chichamejaingkia nepetkatatkamawar nepetkacharmiayi.
"
Achuar,"Nunia Jesús ataksha nuiniak: “Tura asamtai tajarme: Warinak yuwataj, tura warinak umurtaj, tura warinak entsartaj tusaram, nuke nintimsarmeka pujusairap. Yus tuke iwiaaku pujustaram tusa, pujutan suramu asa, atumi yutairincha, tura atumi entsatirincha suramsatatrume.
"
Achuar,"Turamtai aints jimiar Jesúsan wantintukar nijai chichainaun wainkarmiayi. Nuka Moisésayayi. Tura chikitcha Elíasayayi.
"
Achuar,"Tura chikich aints ningki nintimias chichaak: “¿Warukakung Yus aints wait wajaktinasha sua? Tura ¿Yus aints tu pujusarti tusa wakeramtaikia itiurkatjik?” wina turutchanpiash.
"
Achuar,"Junia pasé nintintin ainau Yusen umirchau ainayat, wainchati takatan wainkartas wakerinawai. Tura wainiatnak wainchati takatnaka turashtatjai. Antsu Jonása turunamuriya tumau wainchatai takatnaka nunak wainkartinuitai,” tusa ukuki tumajin katingmiayi.
"
Afrikaans,"En toe Hy 'n beker geneem het, dank Hy en sê: Neem dit en deel dit onder julle.
"
Afrikaans,"Mensekind, profeteer en sê: So spreek die HERE. Sê: 'n Swaard, 'n swaard is skerpgemaak en ook geskuur;
"
Afrikaans,"U het dit met die wêreldvloed soos met 'n kleed oordek; die waters het bo-oor die berge gestaan.
"
Afrikaans,"Verder moet die Leviete, ewewydig met die grens van die priesters, ontvang 'n lengte van vyf en twintig duisend el en 'n breedte van tien duisend; die hele lengte moet wees vyf en twintig duisend en die breedte tien duisend.
"
Afrikaans,"Silwer wat plat geslaan is, word uit Tarsis gebring en goud uit Ufas, die werk van die ambagsman en van die hande van die goudsmid; pers en purperrooi is hulle klere; 'n werk van kunstenaars is hulle almal.
"
Afrikaans,"Open jou deure, o Líbanon, sodat vuur jou sederbome verteer!
"
Afrikaans,"En daar is nog baie ander dinge wat Jesus alles gedoen het; maar as hulle een vir een beskrywe moes word, sou die wêreld self, dink ek, die geskrewe boeke nie bevat nie. Amen.
"
Afrikaans,"want ek het my voorgeneem om niks anders onder julle te weet nie as Jesus Christus, en Hom as gekruisigde.
"
Afrikaans,"is soos die môrelig by sonsopgang, 'n môre sonder wolke as deur die glans ná die reën grasspruitjies uit die aarde uitkom.
"
Afrikaans,"Toe sluit hulle twee 'n verbond voor die aangesig van die HERE; en Dawid het in Hores gebly, maar Jónatan het na sy huis gegaan.
"
Afrikaans,"Mensekind, jou broers, jou broers, die manne wat aan jou verwant is, en die hele huis van Israel, almal saam, van wie die inwoners van Jerusalem sê: Bly ver van die HERE af, aan óns is dit, die land, as besitting gegee--
"
Afrikaans,"En die oog kan nie vir die hand sê: Ek het jou nie nodig nie; of ook die hoof vir die voete: Ek het julle nie nodig nie.
"
Afrikaans,"En Samuel het die volk na die HERE in Mispa byeengeroep
"
Afrikaans,"En die priester Jójada het aan die owerstes oor honderd die spiese en die klein skilde gegee en die skilde van koning Dawid wat in die huis van God was;
"
Afrikaans,"En Hiskía het ontslaap met sy vaders, en sy seun Manasse het in sy plek koning geword.
"
