LANG,TEXT
Achuar,"Tamati jumchik arus nuni wajainau Pedron tariar chicharinak: —Galileanmaya aintsua nunismek chichau asakmin, nekasmeapi amesha aujai wekainuyame tusar nekaji, —tiarmiayi.
"
Achuar,"Tura Jesús nintimraru aarmi. Ni aintsritin nangkamasang Yusen nekasampita timiayi. Tura: Wína nekasampita turutinaunka mash uwemtikratasan jakatatjai tusa, numi winangmaunum natsanpiaku jakatniunka surimiakchamiayi. Tura ukunam nukap warastin asa jarutramkamiaji. Nunia jaka nantaki, nayaimpinam waketki ni Apaachiri untsurinini apu keemtainum keemsamiayi.
"
Achuar,"Tura Yus Elisabetan wait anentak uchin susau asamtai, ni weari ainausha, tura ni irutramu ainausha nuna nekaawar, níjai iruntrar warasarmiayi.
"
Achuar,"Nunia Pedro jeen waya, Jesús Pedro tsatsarin tsuweak peaknum tepaun wainkamiayi.
"
Achuar,"Nuniangka Judas Iscariote Jesúsa nuiniatiri wainiat, iwianchi apuri Satanás ni nintin engkemtuamiayi.
"
Achuar,"Nukap arus Moisés akiinamtai, apu faraón tutai Israel ainaun chicharak: “Uchi aishmang yamai akiinauka entsanam ujungtaram,” tusa chichaman akupkau waininayat, Moisésa aparisha tura nukurisha Yusen nekasampita tinu asar, apunka shamkacharmiayi. Tura asar uchiri nekas shiiram asamtai, kampatam nantu uukarmiayi.
"
Achuar,"Wikia junia aints ainau chichamen untsuri chichaayatnak, tura Yuse awemamuri chichamencha chichaayatnak, chikich ainaun aneetsuk pujaknaka nangkami chichainjai. Tura tampur mesramu nangkami tuntuyamua nunisnak pujuinjai.
"
Achuar,"Tura asakrumin mash nungkanmaya ainautirmin Yus atumin uwemtikramratnun akupturmaktata nu wainkatnuitrume.” Yaanchuik Isaías Juankun pachis tu aarmiayi.
"
Achuar,"Abraham nekas ni nuwapchiri charutkamu ainau aparintai. Tura Abraham ni nuwapchirin charutsuk, Yusen nekasampita tinu asamtai, chikich aints ainau Abrahama nunisarang Yusen nekasampita tinauka Abraham yajutmarmawa nunisarang ainawai.
"
Achuar,"Tura asar nuwan chicharinak: —Yamaikia ame chichaamu nuke antuku asar, nekasampita tatsuji, antsu iik ni chichame anturkau asar: Juka nekas mash nungkanmaya ainaun uwemtikratnuitai tusar nekaji, —tiarmiayi.
"
Achuar,"Tura asakrin Jesús pajas jiimias: —¿Atumsha yaachia earme? —turammiaji. Turammatai iisha: —Nuikiartinu ¿tunia pujame? —tu iniasmiaji.
"
